# Unixtime of reading, Heart Rate RPM
1667862237,58.000000
1667862238,58.000000
1667862239,58.000000
1667862240,58.000000
1667862241,58.000000
1667862242,59.000000
1667862243,59.000000
1667862244,60.000000
1667862245,60.000000
1667862246,62.000000
1667862247,62.000000
1667862248,62.000000
1667862249,62.000000
1667862250,63.000000
1667862251,65.000000
1667862252,65.000000
1667862253,66.000000
1667862254,66.000000
1667862255,66.000000
1667862256,66.000000
1667862257,65.000000
1667862258,65.000000
1667862259,65.000000
1667862260,64.000000
1667862261,64.000000
1667862262,64.000000
1667862263,63.000000
1667862264,62.000000
1667862265,61.000000
1667862266,60.000000
1667862267,59.000000
1667862268,59.000000
1667862269,58.000000
1667862270,58.000000
1667862271,57.000000
1667862272,57.000000
1667862273,57.000000
1667862274,57.000000
1667862275,57.000000
1667862278,57.000000
1667862278,56.000000
1667862278,57.000000
1667862279,56.000000
1667862280,56.000000
1667862281,56.000000
1667862282,56.000000
1667862283,56.000000
1667862284,55.000000
1667862285,55.000000
1667862286,55.000000
1667862287,56.000000
1667862288,56.000000
1667862289,56.000000
1667862290,56.000000
1667862291,56.000000
1667862292,56.000000
1667862293,56.000000
1667862294,56.000000
1667862295,56.000000
1667862296,56.000000
1667862298,56.000000
1667862298,56.000000
1667862299,57.000000
1667862300,57.000000
1667862301,57.000000
1667862302,58.000000
1667862303,58.000000
1667862304,58.000000
1667862305,58.000000
1667862306,58.000000
1667862307,58.000000
1667862308,58.000000
1667862309,58.000000
1667862310,58.000000
1667862311,58.000000
1667862312,58.000000
1667862313,57.000000
1667862314,57.000000
1667862315,57.000000
1667862316,56.000000
1667862317,56.000000
1667862318,56.000000
1667862320,55.000000
1667862320,55.000000
1667862322,54.000000
1667862322,54.000000
1667862323,54.000000
1667862324,53.000000
1667862325,53.000000
1667862326,53.000000
1667862327,54.000000
1667862328,54.000000
1667862329,54.000000
1667862330,55.000000
1667862331,55.000000
1667862332,56.000000
1667862333,56.000000
1667862334,56.000000
1667862335,57.000000
1667862336,57.000000
1667862337,58.000000
1667862338,59.000000
1667862339,59.000000
1667862340,60.000000
1667862341,60.000000
1667862342,61.000000
1667862343,61.000000
1667862344,62.000000
1667862345,62.000000
1667862347,62.000000
1667862347,62.000000
1667862348,62.000000
1667862349,62.000000
1667862350,62.000000
1667862351,62.000000
1667862352,62.000000
1667862353,62.000000
1667862354,62.000000
1667862355,62.000000
1667862356,62.000000
1667862357,62.000000
1667862358,62.000000
1667862359,62.000000
1667862360,62.000000
1667862361,61.000000
1667862362,61.000000
1667862363,61.000000
1667862364,61.000000
1667862365,60.000000
1667862366,60.000000
1667862367,60.000000
1667862368,60.000000
1667862369,60.000000
1667862370,60.000000
1667862371,60.000000
1667862372,59.000000
1667862373,58.000000
1667862374,58.000000
1667862375,58.000000
1667862376,58.000000
1667862377,59.000000
1667862378,59.000000
1667862379,59.000000
1667862380,59.000000
1667862381,60.000000
1667862382,60.000000
1667862383,60.000000
1667862384,60.000000
1667862385,60.000000
1667862386,59.000000
1667862387,59.000000
1667862388,59.000000
1667862389,59.000000
1667862391,58.000000
1667862391,58.000000
1667862392,57.000000
1667862393,57.000000
1667862394,56.000000
1667862395,56.000000
1667862396,56.000000
1667862397,56.000000
1667862398,56.000000
1667862399,55.000000
1667862400,55.000000
1667862401,55.000000
1667862402,55.000000
1667862403,55.000000
1667862405,55.000000
1667862405,56.000000
1667862406,56.000000
1667862407,56.000000
1667862408,56.000000
1667862409,57.000000
1667862410,57.000000
1667862411,57.000000
1667862412,57.000000
1667862413,57.000000
1667862414,57.000000
1667862416,57.000000
1667862416,57.000000
1667862417,57.000000
1667862419,57.000000
